QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	
org.tribuo.anomaly.libsvm.LibSVMAnomalyModel	LibSVMAnomalyModel	low-medium	low-medium	low	low	6	3	1	2	0	4	20	13	0	1	2	0	0	0.0	0.25	0.0	1	0.0	
org.tribuo.anomaly.libsvm.LibSVMAnomalyTrainer	LibSVMAnomalyTrainer	low	low-medium	low	low-medium	10	12	6	1	0	8	47	24	0	0	5	0	0	0.0	0.667	0.0	2	0.0	
org.tribuo.anomaly.libsvm.LibSVMAnomalyTrainerTest	LibSVMAnomalyTrainerTest	low	medium-high	low	low	11	18	12	0	0	1	20	18	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.anomaly.libsvm.SVMAnomalyType	SVMAnomalyType	low	low	low	low	1	8	0	0	0	8	30	21	1	1	8	0	0	1.0	0.437	0.952	0	0.0	
<Package>org.tribuo.classification	org.tribuo.classification	low	low-medium	medium-high	low						62	461												
org.tribuo.classification.Classifiable<T>	Classifiable	low	low	low	low	0	0	0	1	2	0	1	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.ClassificationOptions<TRAINER>	ClassificationOptions	low	low	low	low	0	1	0	1	9	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.ImmutableLabelInfo	ImmutableLabelInfo	low	low	low-medium	low-medium	2	8	1	1	0	11	97	44	0	1	7	0	1	0.0	0.657	0.0	0	143	
org.tribuo.classification.Label	Label	low	low	low	low	0	4	0	0	0	10	46	16	1	1	4	0	0	0.75	0.375	0.5	0	0.0	
org.tribuo.classification.LabelFactory	LabelFactory	low	low-medium	low	low	6	7	0	0	0	7	50	19	0	4	7	0	0	0.1125	0.429	1.0	0	0.0	
org.tribuo.classification.LabelInfo	LabelInfo	low	low-medium	low-medium	low	6	9	1	0	2	9	58	27	1	1	8	0	0	0.0	0.583	1.0	0	0.0	
org.tribuo.classification.MutableLabelInfo	MutableLabelInfo	low	low	low	low	3	6	1	1	0	6	36	19	0	1	5	0	0	0.0	0.533	0.0	0	0.0	
org.tribuo.classification.TestLabelEvaluationUtil	TestLabelEvaluationUtil	low	low	low-medium	low	5	19	8	0	0	7	123	121	0	1	6	0	0	0.0	0.0	0.333	0	0.0	
org.tribuo.classification.TrainTestHelper	TrainTestHelper	low	medium-high	low	low	11	25	13	0	0	6	31	28	0	1	1	1	0	0.0	0.375	0.0	1	0.0	
org.tribuo.classification.Utils	Utils	low	low	low	low	1	0	0	0	0	0	15	0	0	1	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.WeightedLabels	WeightedLabels	low	low	low	low	0	0	0	1	2	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.baseline	org.tribuo.classification.baseline	low	low	low	low						30	186												
org.tribuo.classification.baseline.DummyClassifierModel	DummyClassifierModel	low	medium-high	low-medium	low	12	15	9	1	0	15	86	55	4	1	4	3	0	0.333	0.589	0.0	0	0.0	
org.tribuo.classification.baseline.DummyClassifierTrainer	DummyClassifierTrainer	low	low	low-medium	low	2	7	0	0	0	9	75	25	3	0	4	3	0	0.667	0.357	0.6	0	0.0	
org.tribuo.classification.baseline.TestDummyClassifier	TestDummyClassifier	low	low-medium	low	low	7	22	8	0	0	6	25	19	0	4	3	1	0	0.0	0.5	1.0	0	0.0	
<Package>org.tribuo.classification.dtree	org.tribuo.classification.dtree	low	low	low-medium	low						43	319												
org.tribuo.classification.dtree.CARTClassificationOptions	CARTClassificationOptions	low	low	low	low	4	1	0	0	0	4	48	21	9	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.dtree.CARTClassificationTrainer	CARTClassificationTrainer	low	low-medium	low-medium	low	9	9	1	1	0	8	59	37	1	0	8	0	0	0.0	0.578	0.857	0	0.0	
org.tribuo.classification.dtree.TestCART	TestCART	low	medium-high	low-medium	low	12	45	20	0	0	19	82	78	0	2	15	4	0	0.545	0.526	0.825	1	0.0	
org.tribuo.classification.dtree.TestClassificationEnsembles	TestClassificationEnsembles	low	medium-high	low-medium	low	16	38	18	0	0	12	113	102	0	7	11	1	0	0.964	0.528	0.939	1	0.0	
org.tribuo.classification.dtree.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	17	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.dtree.impl	org.tribuo.classification.dtree.impl	low	low	low-medium	low						54	464												
org.tribuo.classification.dtree.impl.ClassifierTrainingNode	ClassifierTrainingNode	low	low-medium	low-medium	low-medium	9	13	8	1	0	8	242	29	5	1	5	0	0	0.1167	0.667	1.0	0	0.0	
org.tribuo.classification.dtree.impl.InvertedFeature	InvertedFeature	low-medium	low	low-medium	low-medium	2	11	2	0	0	33	152	123	8	1	11	0	0	0.611	0.682	0.333	0	0.0	
org.tribuo.classification.dtree.impl.TreeFeature	TreeFeature	low	low	low-medium	low-medium	4	15	7	0	0	13	70	47	5	0	6	0	0	0.6	0.633	0.5	1	0.0	
<Package>org.tribuo.classification.dtree.impurity	org.tribuo.classification.dtree.impurity	low	low	low	low						14	84												
org.tribuo.classification.dtree.impurity.Entropy	Entropy	low	low	low	low	1	2	0	0	0	4	15	11	0	0	2	0	0	0.0	0.25	0.0	0	0.0	
org.tribuo.classification.dtree.impurity.GiniIndex	GiniIndex	low	low	low	low	1	2	0	0	0	3	14	10	0	0	2	0	0	0.0	0.25	0.0	0	0.0	
org.tribuo.classification.dtree.impurity.LabelImpurity	LabelImpurity	low	low	low-medium	low	0	6	1	1	2	7	55	6	0	0	6	0	0	0.0	0.5	0.0	0	0.0	
<Package>org.tribuo.classification.ensemble	org.tribuo.classification.ensemble	low	low	low-medium	low						23	353												
org.tribuo.classification.ensemble.AdaBoostTrainer	AdaBoostTrainer	low	low	low-medium	low	2	6	1	0	0	6	107	17	4	0	6	0	0	0.875	0.542	0.9	0	0.0	
org.tribuo.classification.ensemble.ClassificationEnsembleOptions	ClassificationEnsembleOptions	low	low-medium	low	low	6	1	0	0	0	9	38	25	3	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.ensemble.FullyWeightedVotingCombiner	FullyWeightedVotingCombiner	low	low	low-medium	low	1	2	0	0	0	2	62	4	0	1	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.ensemble.VotingCombiner	VotingCombiner	low	low	low-medium	low	1	2	0	0	0	2	56	4	0	1	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.ensemble.VotingCombinerTest	VotingCombinerTest	low	medium-high	low-medium	low	15	12	9	0	0	4	90	77	0	12	2	2	0	0.806	0.0	0.0	2	0.0	
<Package>org.tribuo.classification.evaluation	org.tribuo.classification.evaluation	low	medium-high	medium-high	low						177	1153												
org.tribuo.classification.evaluation.ClassifierEvaluation<T>	ClassifierEvaluation	low-medium	low	low-medium	low	1	24	0	1	2	24	25	24	0	0	24	0	0	0.0	0.333	0.0	0	0.0	
org.tribuo.classification.evaluation.ConfusionMatrix<T>	ConfusionMatrix	low	low	low	low	1	12	1	1	2	13	22	12	0	0	12	0	0	0.0	0.25	0.0	0	0.0	
org.tribuo.classification.evaluation.ConfusionMetrics	ConfusionMetrics	low-medium	low	low-medium	low-medium	4	29	13	0	0	33	106	75	0	0	1	21	0	0.0	0.63	0.0	0	0.0	
org.tribuo.classification.evaluation.ConfusionMetricsTest	ConfusionMetricsTest	low	low	low	low	5	11	4	0	0	1	17	16	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.evaluation.EvaluationAggregationTests	EvaluationAggregationTests	low	medium-high	low-medium	low	16	36	19	0	0	10	152	144	0	1	3	5	0	0.0	0.0	0.25	1	0.0	
org.tribuo.classification.evaluation.LabelConfusionMatrix	LabelConfusionMatrix	low	low	low-medium	low	3	12	4	0	0	14	131	41	3	0	9	0	0	0.833	0.111	0.964	0	0.0	
org.tribuo.classification.evaluation.LabelConfusionMatrixTest	LabelConfusionMatrixTest	low	low	low	low	4	13	8	0	0	1	38	37	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.evaluation.LabelEvaluation	LabelEvaluation	low	low	low-medium	low	2	6	0	1	1	9	105	6	0	0	6	0	0	0.0	0.389	0.0	0	0.0	
org.tribuo.classification.evaluation.LabelEvaluationImpl	LabelEvaluationImpl	low-medium	low-medium	medium-high	medium-high	10	41	8	0	0	39	138	115	4	0	34	0	0	0.833	0.74	0.987	0	0.0	
org.tribuo.classification.evaluation.LabelEvaluationUtil	LabelEvaluationUtil	low	low	low-medium	low	2	11	7	0	0	17	98	71	0	0	1	5	0	0.0	0.111	0.0	0	0.0	
org.tribuo.classification.evaluation.LabelEvaluator	LabelEvaluator	low	low	low	low	0	0	0	1	0	0	45	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.evaluation.LabelEvaluatorTest	LabelEvaluatorTest	low	low-medium	low-medium	low	8	24	19	0	0	5	162	161	0	0	5	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.evaluation.LabelMetric	LabelMetric	low	low	low	low	1	3	0	0	0	3	48	9	1	0	3	0	0	0.0	0.333	0.0	0	0.0	
org.tribuo.classification.evaluation.LabelMetrics	LabelMetrics	low	low	low-medium	low	2	1	0	0	0	1	55	2	0	11	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.evaluation.TestUtils	TestUtils	low	low	low	low	0	0	0	0	0	0	11	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.example	org.tribuo.classification.example	low	low	low	low						9	160												
org.tribuo.classification.example.LabelledDataGenerator	LabelledDataGenerator	low	low-medium	low-medium	low	8	17	4	0	0	9	160	158	0	1	1	8	0	0.0	0.333	0.893	0	0.0	
<Package>org.tribuo.classification.experiments	org.tribuo.classification.experiments	low	low	low-medium	low						23	364												
org.tribuo.classification.experiments.AllTrainerOptions	AllTrainerOptions	low	medium-high	low-medium	low	12	20	10	0	0	13	66	43	11	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.experiments.ConfigurableTrainTest	ConfigurableTrainTest	low	low	low-medium	low	0	0	0	0	0	0	97	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.experiments.RunAll	RunAll	low	low	low-medium	low	0	0	0	0	0	0	57	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.experiments.Test	Test	low	medium-high	low-medium	low	15	13	5	0	0	10	128	52	0	0	0	1	0	0.0	0.0	0.0	1	0.0	
org.tribuo.classification.experiments.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	16	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.explanations	org.tribuo.classification.explanations	low	low	low	low						6	10												
org.tribuo.classification.explanations.ColumnarExplainer<T>	ColumnarExplainer	low	low	low	low	0	0	0	1	1	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.explanations.Explanation<T>	Explanation	low	low	low	low	2	2	0	1	1	3	4	2	0	0	2	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.explanations.TabularExplainer<T>	TabularExplainer	low	low	low	low	2	1	0	1	1	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0	
org.tribuo.classification.explanations.TextExplainer<T>	TextExplainer	low	low	low	low	0	0	0	1	1	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0	
<Package>org.tribuo.classification.explanations.lime	org.tribuo.classification.explanations.lime	low	low-medium	low-medium	low						66	751												
org.tribuo.classification.explanations.lime.LIMEBase	LIMEBase	low-medium	medium-high	low-medium	low-medium	18	14	11	0	2	24	153	84	6	4	2	5	0	1.6	0.607	1.0	1	0.0	
org.tribuo.classification.explanations.lime.LIMEColumnar	LIMEColumnar	low	low	low-medium	low	4	0	0	1	0	0	207	0	6	0	0	0	0	0.0	0.0	0.0	0	0.0	
