file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
tribuo-4.0.2/Interop/ONNX/src/main/java/org/tribuo/interop/onnx/ImageTransformer.java,org.tribuo.interop.onnx.ImageTransformer,class,10,18,1,12,8,0.0,0.0,8,0,6,2,0,0,6,0,0,0,4,1,0,4,0,0,1,0,5,56,5,2,1,0,0,20,15,10,7,9,3,0,0,0,99,1,0
tribuo-4.0.2/Interop/ONNX/src/main/java/org/tribuo/interop/onnx/OutputTransformer.java,org.tribuo.interop.onnx.OutputTransformer,interface,9,5,1,0,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0
tribuo-4.0.2/Interop/ONNX/src/main/java/org/tribuo/interop/onnx/ExampleTransformer.java,org.tribuo.interop.onnx.ExampleTransformer,interface,5,2,1,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,0
tribuo-4.0.2/Interop/ONNX/src/main/java/org/tribuo/interop/onnx/DenseTransformer.java,org.tribuo.interop.onnx.DenseTransformer,class,8,9,1,8,10,0.0,0.0,5,0,4,1,0,0,4,0,0,0,5,4,2,3,0,0,4,0,1,38,5,2,0,0,2,4,7,12,1,9,1,0,0,0,87,1,0
tribuo-4.0.2/Interop/ONNX/src/main/java/org/tribuo/interop/onnx/RegressorTransformer.java,org.tribuo.interop.onnx.RegressorTransformer,class,16,22,1,21,28,0.0,0.0,8,0,7,1,0,0,7,0,0,0,1,1,0,1,0,0,1,0,1,90,8,5,7,1,2,12,13,23,7,19,4,0,0,0,72,1,0
tribuo-4.0.2/Interop/ONNX/src/main/java/org/tribuo/interop/onnx/LabelTransformer.java,org.tribuo.interop.onnx.LabelTransformer,class,16,36,1,26,45,0.0,0.0,10,0,7,3,0,0,7,0,0,0,2,2,0,2,0,0,2,0,2,133,11,6,14,1,9,18,22,30,11,26,8,0,0,0,121,1,0
tribuo-4.0.2/Interop/ONNX/src/main/java/org/tribuo/interop/onnx/ONNXExternalModel.java,org.tribuo.interop.onnx.ONNXExternalModel,class,29,29,3,40,0,0.0,0.0,14,2,5,3,6,0,11,0,0,2,9,2,0,9,0,0,6,0,10,160,9,2,4,9,0,26,1,39,5,28,3,0,0,0,175,17,0
tribuo-4.0.2/Classification/LibSVM/src/test/java/org/tribuo/classification/libsvm/TestLibSVM.java,org.tribuo.classification.libsvm.TestLibSVM$TestMap,innerclass,3,1,3,4,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,19,0,0,0,0,4,8,9,6,0,5,0,0,0,0,18,10,0
tribuo-4.0.2/Classification/LibSVM/src/test/java/org/tribuo/classification/libsvm/TestLibSVM.java,org.tribuo.classification.libsvm.TestLibSVM,class,42,30,3,61,159,0.0,0.0,19,3,9,10,0,0,9,0,0,0,3,1,0,3,0,0,3,0,20,185,9,9,0,1,0,27,31,59,1,46,1,0,1,3,111,1,0
tribuo-4.0.2/Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm/LibSVMOptions.java,org.tribuo.classification.libsvm.LibSVMOptions,class,8,2,1,3,0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,0,5,0,0,0,0,0,0,17,2,0,0,0,0,11,3,6,0,6,0,0,0,0,33,1,0
tribuo-4.0.2/Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm/SVMClassificationType.java,org.tribuo.classification.libsvm.SVMClassificationType$SVMMode,enum,0,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,7,0,0,0,0,0,0,2,1,0,1,0,0,0,0,20,1,0
tribuo-4.0.2/Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm/SVMClassificationType.java,org.tribuo.classification.libsvm.SVMClassificationType,class,6,9,1,0,22,0.0,0.0,8,0,7,1,0,0,7,0,0,0,2,1,0,2,0,0,1,0,0,34,6,0,1,0,0,2,1,2,0,2,0,0,1,0,45,1,0
tribuo-4.0.2/Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm/LibSVMClassificationModel.java,org.tribuo.classification.libsvm.LibSVMClassificationModel,class,15,18,3,22,4,0.0,0.0,4,0,2,0,1,1,4,0,0,0,2,1,0,2,0,0,2,0,5,77,3,7,3,0,1,1,17,23,5,20,4,0,0,0,119,1,0
tribuo-4.0.2/Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm/TrainTest.java,org.tribuo.classification.libsvm.TrainTest,class,11,4,1,10,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,2,28,0,0,0,1,1,3,0,6,2,5,2,0,1,0,32,1,1
tribuo-4.0.2/Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm/TrainTest.java,org.tribuo.classification.libsvm.TrainTest$TrainTestOptions,innerclass,4,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,3,0,0,0,0,22,9,0
tribuo-4.0.2/Classification/LibSVM/src/main/java/org/tribuo/classification/libsvm/LibSVMClassificationTrainer.java,org.tribuo.classification.libsvm.LibSVMClassificationTrainer,class,22,16,2,24,26,0.0,0.0,8,0,3,0,5,0,8,0,0,0,2,1,0,2,0,0,1,0,5,74,4,3,3,0,0,4,9,27,2,14,3,0,0,0,117,1,0
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/RunAll.java,org.tribuo.classification.experiments.RunAll$RunAllOptions,innerclass,3,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,7,1,0,0,0,0,3,0,0,0,2,0,0,0,0,27,9,0
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/RunAll.java,org.tribuo.classification.experiments.RunAll,class,16,11,1,31,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,3,69,1,2,4,4,1,15,2,18,11,17,2,0,1,0,64,1,6
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/Test.java,org.tribuo.classification.experiments.Test$ConfigurableTestOptions,innerclass,3,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,9,0,9,0,0,0,0,0,0,14,1,0,0,0,0,19,2,4,0,9,0,0,0,0,55,9,0
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/Test.java,org.tribuo.classification.experiments.Test,class,27,19,1,56,0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,19,136,2,1,4,5,0,24,4,33,9,29,3,0,1,1,102,1,12
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/AllTrainerOptions.java,org.tribuo.classification.experiments.AllTrainerOptions,class,16,13,1,14,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,12,1,11,1,0,0,1,0,1,61,1,0,2,0,2,6,1,12,3,13,2,0,1,0,67,1,2
tribuo-4.0.2/Classification/Experiments/src/main/java/org/tribuo/classification/experiments/AllTrainerOptions.java,org.tribuo.classification.experiments.AllTrainerOptions$AlgorithmType,enum,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
