file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
tribuo-4.1.0/Classification/Core/src/main/java/org/tribuo/classification/ImmutableLabelInfo.java,org.tribuo.classification.ImmutableLabelInfo,class,25,24,2,0,24,40,16,12,0,6,0,2,0,171
tribuo-4.1.0/Core/src/main/java/org/tribuo/VariableIDInfo.java,org.tribuo.VariableIDInfo,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,28
tribuo-4.1.0/Regression/Core/src/main/java/org/tribuo/regression/impl/SkeletalIndependentRegressionTrainer.java,org.tribuo.regression.impl.SkeletalIndependentRegressionTrainer,class,24,13,1,0,23,28,9,4,0,3,0,0,1,135
tribuo-4.1.0/Util/InformationTheory/src/main/java/org/tribuo/util/infotheory/impl/WeightedTripleDistribution.java,org.tribuo.util.infotheory.impl.WeightedTripleDistribution,class,27,15,1,0,13,0,10,10,2,9,2,1,13,169
tribuo-4.1.0/Util/Tokenization/src/test/java/org/tribuo/util/tokens/impl/TokenizerSerializationTest.java,org.tribuo.util.tokens.impl.TokenizerSerializationTest,class,13,2,2,0,4,0,2,2,0,1,0,0,8,74
tribuo-4.1.0/Core/src/test/java/org/tribuo/DatasetTest.java,org.tribuo.DatasetTest,class,19,5,1,0,27,6,4,4,1,0,0,0,0,156
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/text/impl/SimpleTextDataSource.java,org.tribuo.data.text.impl.SimpleTextDataSource,class,33,26,3,1,43,86,16,8,1,7,0,3,1,190
tribuo-4.1.0/Data/src/main/java/org/tribuo/data/columnar/processors/field/TextFieldProcessor.java,org.tribuo.data.columnar.processors.field.TextFieldProcessor,class,14,13,1,0,9,14,9,8,1,2,0,0,1,105
tribuo-4.1.0/Data/src/test/java/org/tribuo/data/csv/CSVSaverTest.java,org.tribuo.data.csv.CSVSaverTest,class,21,5,1,0,29,3,3,3,0,0,0,0,0,104
tribuo-4.1.0/Regression/LibSVM/src/main/java/org/tribuo/regression/libsvm/SVMRegressionType.java,org.tribuo.regression.libsvm.SVMRegressionType,class,8,9,1,0,0,24,9,7,0,3,0,1,0,79
tribuo-4.1.0/Util/Tokenization/src/main/java/org/tribuo/util/tokens/universal/UniversalTokenizer.java,org.tribuo.util.tokens.universal.UniversalTokenizer,class,19,142,1,0,26,159,27,21,4,21,0,0,4,599
tribuo-4.1.0/Core/src/test/java/org/tribuo/test/MutableMockMultiOutputInfo.java,org.tribuo.test.MutableMockMultiOutputInfo,class,10,11,2,0,12,15,6,6,0,0,0,0,0,74
tribuo-4.1.0/Core/src/main/java/org/tribuo/transform/TransformerMap.java,org.tribuo.transform.TransformerMap,class,30,23,1,0,26,71,18,17,1,11,0,5,1,216
tribuo-4.1.0/Core/src/main/java/org/tribuo/evaluation/DescriptiveStats.java,org.tribuo.evaluation.DescriptiveStats,class,9,16,1,0,26,0,13,12,0,1,0,0,5,117
tribuo-4.1.0/Regression/Core/src/main/java/org/tribuo/regression/evaluation/RegressionMetric.java,org.tribuo.regression.evaluation.RegressionMetric,class,13,8,2,0,2,2,8,6,0,5,0,0,0,93
tribuo-4.1.0/MultiLabel/Core/src/main/java/org/tribuo/multilabel/MultiLabelFactory.java,org.tribuo.multilabel.MultiLabelFactory,class,26,23,1,0,19,120,16,15,1,5,1,5,4,155
tribuo-4.1.0/Math/src/main/java/org/tribuo/math/optimisers/AdaGrad.java,org.tribuo.math.optimisers.AdaGrad,class,11,12,1,0,7,8,9,8,0,5,0,1,0,99
