QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI
org.tribuo.classification.experiments.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	16	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
<Package>org.tribuo.classification.explanations	org.tribuo.classification.explanations	low	low	low	low						6	10											
org.tribuo.classification.explanations.ColumnarExplainer<T>	ColumnarExplainer	low	low	low	low	0	0	0	1	1	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.explanations.Explanation<T>	Explanation	low	low	low	low	2	2	0	1	1	3	4	2	0	0	2	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.explanations.TabularExplainer<T>	TabularExplainer	low	low	low	low	2	1	0	1	1	1	2	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.explanations.TextExplainer<T>	TextExplainer	low	low	low	low	0	0	0	1	1	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
<Package>org.tribuo.classification.explanations.lime	org.tribuo.classification.explanations.lime	low	low-medium	low-medium	low						66	751											
org.tribuo.classification.explanations.lime.LIMEBase	LIMEBase	low-medium	medium-high	low-medium	low-medium	18	14	11	0	2	24	153	84	6	4	2	5	0	1.6	607	1.0	1	0.0
org.tribuo.classification.explanations.lime.LIMEColumnar	LIMEColumnar	low	low	low-medium	low	4	0	0	1	0	0	207	0	6	0	0	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.explanations.lime.LIMEColumnarTest	LIMEColumnarTest	low-medium	high	low-medium	low	22	9	6	0	0	35	174	172	0	1	5	0	0	0.0	0.0	667	0	0.0
org.tribuo.classification.explanations.lime.LIMEExplanation	LIMEExplanation	low	low	low	low	3	4	0	0	0	4	25	12	3	1	4	0	0	833	562	0.5	0	0.0
org.tribuo.classification.explanations.lime.LIMEText	LIMEText	low	low	low	low	2	0	0	1	0	0	50	0	2	0	0	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.explanations.lime.LIMETextCLI	LIMETextCLI	low	low-medium	low-medium	low	9	4	1	0	0	3	111	11	8	0	3	0	0	1.75	0.0	667	0	0.0
org.tribuo.classification.explanations.lime.MNISTDemo	MNISTDemo	low	low	low	low	0	0	0	0	0	0	31	0	0	1	0	0	0	0.0	0.0	0.0	0	0.0
<Package>org.tribuo.classification.liblinear	org.tribuo.classification.liblinear	low	low-medium	low-medium	low						61	422											
org.tribuo.classification.liblinear.LibLinearClassificationModel	LibLinearClassificationModel	low-medium	medium-high	low-medium	low	10	11	9	2	0	17	133	65	0	1	3	0	0	0.0	333	0.0	3	0.0
org.tribuo.classification.liblinear.LibLinearClassificationTrainer	LibLinearClassificationTrainer	low	low-medium	low-medium	low-medium	10	20	12	1	0	11	66	43	0	0	6	0	0	0.0	643	0.0	1	0.0
org.tribuo.classification.liblinear.LibLinearOptions	LibLinearOptions	low	low	low	low	3	1	0	0	0	1	15	3	4	0	1	0	0	0.0	0.0	0.0	0	0.0
org.tribuo.classification.liblinear.LinearClassificationType	LinearClassificationType	low	low	low	low	2	7	1	0	0	6	33	15	1	1	6	0	0	1.0	417	0.9	1	0.0
org.tribuo.classification.liblinear.TestLibLinearModel	TestLibLinearModel	low-medium	medium-high	low-medium	medium-high	18	43	23	0	0	23	157	113	0	1	14	2	0	0.0	712	978	1	0.0
org.tribuo.classification.liblinear.TrainTest	TrainTest	low	low	low	low	0	0	0	0	0	0	18	0	0	0	0	0	0	0.0	0.0	0.0	0	0.0
<Package>org.tribuo.classification.libsvm	org.tribuo.classification.libsvm	low	low-medium	low-medium	low						55	351											
