"filename", "language", "XML", "Jupyter", "YAML", "Markdown", "Java", "Shell Script", "Python", "JSON", "comment", "blank", "total"
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelEvaluator.java", "Java", 0, 0, 0, 0, 64, 0, 0, 0, 28, 12, 104
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelMetric.java", "Java", 0, 0, 0, 0, 72, 0, 0, 0, 29, 18, 119
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/LabelMetrics.java", "Java", 0, 0, 0, 0, 79, 0, 0, 0, 98, 16, 193
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/evaluation/package-info.java", "Java", 0, 0, 0, 0, 1, 0, 0, 0, 24, 1, 26
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/example/LabelledDataGenerator.java", "Java", 0, 0, 0, 0, 180, 0, 0, 0, 50, 37, 267
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/example/package-info.java", "Java", 0, 0, 0, 0, 1, 0, 0, 0, 18, 1, 20
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/package-info.java", "Java", 0, 0, 0, 0, 1, 0, 0, 0, 28, 1, 30
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/sequence/ConfidencePredictingSequenceModel.java", "Java", 0, 0, 0, 0, 48, 0, 0, 0, 50, 14, 112
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/sequence/LabelSequenceEvaluation.java", "Java", 0, 0, 0, 0, 176, 0, 0, 0, 37, 41, 254
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/sequence/LabelSequenceEvaluator.java", "Java", 0, 0, 0, 0, 69, 0, 0, 0, 25, 15, 109
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/sequence/example/SequenceDataGenerator.java", "Java", 0, 0, 0, 0, 114, 0, 0, 0, 34, 34, 182
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/sequence/example/package-info.java", "Java", 0, 0, 0, 0, 1, 0, 0, 0, 18, 1, 20
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/sequence/package-info.java", "Java", 0, 0, 0, 0, 1, 0, 0, 0, 19, 1, 21
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/sequence/viterbi/DefaultFeatureExtractor.java", "Java", 0, 0, 0, 0, 75, 0, 0, 0, 40, 22, 137
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/sequence/viterbi/LabelFeatureExtractor.java", "Java", 0, 0, 0, 0, 11, 0, 0, 0, 24, 7, 42
"/home/francesco/Scrivania/UniPD-IdS-HW2/project/tribuo-4.0.1/Classification/Core/src/main/java/org/tribuo/classification/sequence/viterbi/NoopFeatureExtractor.java", "Java", 0, 0, 0, 0, 22, 0, 0, 0, 20, 10, 52
